site_no,gage_name,Date,year,month,day,cfs
08170000,San Marcos Springs,1957-05-30,1957,5,30,193
08170000,San Marcos Springs,1957-05-31,1957,5,31,189
08170000,San Marcos Springs,1957-06-01,1957,6,1,189
08170000,San Marcos Springs,1957-06-02,1957,6,2,197
08170000,San Marcos Springs,1957-06-03,1957,6,3,201
08170000,San Marcos Springs,1957-06-04,1957,6,4,209
08170000,San Marcos Springs,1957-06-05,1957,6,5,209
08170000,San Marcos Springs,1957-06-06,1957,6,6,209
08170000,San Marcos Springs,1957-06-07,1957,6,7,209
08170000,San Marcos Springs,1957-06-08,1957,6,8,205
08170000,San Marcos Springs,1957-06-09,1957,6,9,205
08170000,San Marcos Springs,1957-06-10,1957,6,10,205
08170000,San Marcos Springs,1957-06-11,1957,6,11,205
08170000,San Marcos Springs,1957-06-12,1957,6,12,201
08170000,San Marcos Springs,1957-06-13,1957,6,13,205
08170000,San Marcos Springs,1957-06-14,1957,6,14,205
08170000,San Marcos Springs,1957-06-15,1957,6,15,197
08170000,San Marcos Springs,1957-06-16,1957,6,16,193
08170000,San Marcos Springs,1957-06-17,1957,6,17,193
08170000,San Marcos Springs,1957-06-18,1957,6,18,193
08170000,San Marcos Springs,1957-06-19,1957,6,19,189
08170000,San Marcos Springs,1957-06-20,1957,6,20,185
08170000,San Marcos Springs,1957-06-21,1957,6,21,185
08170000,San Marcos Springs,1957-06-22,1957,6,22,189
08170000,San Marcos Springs,1957-06-23,1957,6,23,185
08170000,San Marcos Springs,1957-06-24,1957,6,24,185
08170000,San Marcos Springs,1957-06-25,1957,6,25,185
08170000,San Marcos Springs,1957-06-26,1957,6,26,177
08170000,San Marcos Springs,1957-06-27,1957,6,27,177
08170000,San Marcos Springs,1957-06-28,1957,6,28,177
08170000,San Marcos Springs,1957-06-29,1957,6,29,173
08170000,San Marcos Springs,1957-06-30,1957,6,30,169
08170000,San Marcos Springs,1957-07-01,1957,7,1,173
08170000,San Marcos Springs,1957-07-02,1957,7,2,169
08170000,San Marcos Springs,1957-07-03,1957,7,3,169
08170000,San Marcos Springs,1957-07-04,1957,7,4,169
08170000,San Marcos Springs,1957-07-05,1957,7,5,169
08170000,San Marcos Springs,1957-07-06,1957,7,6,165
08170000,San Marcos Springs,1957-07-07,1957,7,7,161
08170000,San Marcos Springs,1957-07-08,1957,7,8,161
08170000,San Marcos Springs,1957-07-09,1957,7,9,161
08170000,San Marcos Springs,1957-07-10,1957,7,10,161
08170000,San Marcos Springs,1957-07-11,1957,7,11,157
08170000,San Marcos Springs,1957-07-12,1957,7,12,161
08170000,San Marcos Springs,1957-07-13,1957,7,13,157
08170000,San Marcos Springs,1957-07-14,1957,7,14,153
08170000,San Marcos Springs,1957-07-15,1957,7,15,153
08170000,San Marcos Springs,1957-07-16,1957,7,16,157
08170000,San Marcos Springs,1957-07-17,1957,7,17,153
08170000,San Marcos Springs,1957-07-18,1957,7,18,146
08170000,San Marcos Springs,1957-07-19,1957,7,19,146
08170000,San Marcos Springs,1957-07-20,1957,7,20,146
08170000,San Marcos Springs,1957-07-21,1957,7,21,146
08170000,San Marcos Springs,1957-07-22,1957,7,22,146
08170000,San Marcos Springs,1957-07-23,1957,7,23,149
08170000,San Marcos Springs,1957-07-24,1957,7,24,153
08170000,San Marcos Springs,1957-07-25,1957,7,25,146
08170000,San Marcos Springs,1957-07-26,1957,7,26,142
08170000,San Marcos Springs,1957-07-27,1957,7,27,149
08170000,San Marcos Springs,1957-07-28,1957,7,28,149
08170000,San Marcos Springs,1957-07-29,1957,7,29,149
08170000,San Marcos Springs,1957-07-30,1957,7,30,149
