date,val,site
2023-07-02,118,Comal
2023-07-01,119,Comal
2023-06-30,122,Comal
2023-06-29,125,Comal
2023-06-28,127,Comal
2023-06-27,131,Comal
2023-06-26,135,Comal
2023-06-25,139,Comal
2023-06-24,142,Comal
2023-06-23,146,Comal
2023-06-22,147,Comal
2023-06-21,150,Comal
2023-06-20,152,Comal
2023-06-19,154,Comal
2023-06-18,157,Comal
2023-06-17,159,Comal
2023-06-16,161,Comal
2023-06-15,163,Comal
2023-06-14,165,Comal
2023-06-13,168,Comal
2023-06-12,172,Comal
2023-06-11,175,Comal
2023-06-10,178,Comal
2023-06-09,182,Comal
2023-06-08,184,Comal
2023-06-07,187,Comal
2023-06-06,186,Comal
2023-06-05,185,Comal
2023-06-04,184,Comal
2023-06-03,183,Comal
2023-06-02,182,Comal
2023-06-01,184,Comal
2023-05-31,187,Comal
2023-05-30,189,Comal
2023-05-29,192,Comal
2023-05-28,191,Comal
2023-05-27,191,Comal
2023-05-26,194,Comal
2023-05-25,195,Comal
2023-05-24,195,Comal
2023-05-23,196,Comal
2023-05-22,195,Comal
2023-05-21,194,Comal
2023-05-20,192,Comal
2023-05-19,191,Comal
2023-05-18,184,Comal
2023-05-17,178,Comal
2023-05-16,171,Comal
2023-05-15,165,Comal
2023-05-14,159,Comal
2023-05-13,154,Comal
2023-05-12,146,Comal
2023-05-11,143,Comal
2023-05-10,144,Comal
2023-05-09,144,Comal
2023-05-08,144,Comal
2023-05-07,143,Comal
2023-05-06,142,Comal
2023-05-05,143,Comal
2023-05-04,144,Comal
2023-05-03,145,Comal
2023-05-02,147,Comal
2023-05-01,149,Comal
2023-04-30,150,Comal
2023-04-29,152,Comal
2023-04-28,151,Comal
2023-04-27,150,Comal
2023-04-26,148,Comal
2023-04-25,148,Comal
2023-04-24,148,Comal
2023-04-23,148,Comal
2023-04-22,142,Comal
2023-04-21,137,Comal
2023-04-20,131,Comal
2023-04-19,126,Comal
2023-04-18,125,Comal
2023-04-17,127,Comal
2023-04-16,129,Comal
2023-04-15,131,Comal
2023-04-14,134,Comal
2023-04-13,136,Comal
2023-04-12,136,Comal
2023-04-11,133,Comal
2023-04-10,131,Comal
2023-04-09,136,Comal
2023-04-08,143,Comal
2023-04-07,142,Comal
2023-04-06,126,Comal
2023-04-05,118,Comal
2023-04-04,119,Comal
2023-04-03,121,Comal
2023-04-02,121,Comal
2023-04-01,121,Comal
2023-03-31,120,Comal
2023-03-30,120,Comal
2023-03-29,119,Comal
2023-03-28,119,Comal
2023-03-27,118,Comal
2023-03-26,117,Comal
2023-03-25,117,Comal
2023-03-24,116,Comal
2023-03-23,112,Comal
2023-03-22,112,Comal
2023-03-21,111,Comal
2023-03-20,119,Comal
2023-03-19,120,Comal
2023-03-18,118,Comal
2023-03-17,125,Comal
2023-03-16,111,Comal
2023-03-15,109,Comal
2023-03-14,107,Comal
2023-03-13,110,Comal
2023-03-12,112,Comal
2023-03-11,115,Comal
2023-03-10,115,Comal
2023-03-09,117,Comal
2023-03-08,119,Comal
2023-03-07,121,Comal
2023-03-06,123,Comal
2023-03-05,126,Comal
2023-03-04,128,Comal
2023-03-03,130,Comal
2023-03-02,130,Comal
2023-03-01,129,Comal
2023-02-28,129,Comal
2023-02-27,131,Comal
2023-02-26,133,Comal
2023-02-25,132,Comal
2023-02-24,131,Comal
2023-02-23,129,Comal
2023-02-22,130,Comal
2023-02-21,132,Comal
2023-02-20,133,Comal
2023-02-19,132,Comal
2023-02-18,131,Comal
2023-02-17,128,Comal
2023-02-16,126,Comal
2023-02-15,125,Comal
2023-02-14,124,Comal
2023-02-13,123,Comal
2023-02-12,125,Comal
2023-02-11,125,Comal
2023-02-10,125,Comal
2023-02-09,120,Comal
2023-02-08,119,Comal
2023-02-07,118,Comal
2023-02-06,117,Comal
2023-02-05,132,Comal
2023-02-04,128,Comal
2023-02-03,129,Comal
2023-02-02,129,Comal
2023-02-01,133,Comal
2023-01-31,121,Comal
2023-01-30,120,Comal
2023-01-29,121,Comal
2023-01-28,122,Comal
2023-01-27,123,Comal
2023-01-26,125,Comal
2023-01-25,124,Comal
2023-01-24,126,Comal
2023-01-23,125,Comal
2023-01-22,124,Comal
2023-01-21,122,Comal
2023-01-20,121,Comal
2023-01-19,121,Comal
2023-01-18,121,Comal
2023-01-17,122,Comal
2023-01-16,123,Comal
2023-01-15,124,Comal
2023-01-14,124,Comal
2023-01-13,124,Comal
2023-01-12,125,Comal
2023-01-11,127,Comal
2023-01-10,128,Comal
2023-01-09,130,Comal
2023-01-08,130,Comal
2023-01-07,133,Comal
2023-01-06,132,Comal
2023-01-05,132,Comal
2023-01-04,133,Comal
2023-01-03,134,Comal
2023-01-02,139,Comal
2023-01-01,136,Comal
2022-12-31,134,Comal
2022-12-30,133,Comal
2022-12-29,131,Comal
2022-12-28,129,Comal
2022-12-27,126,Comal
2022-12-26,124,Comal
2022-12-25,121,Comal
2022-12-24,123,Comal
2022-12-23,124,Comal
2022-12-22,126,Comal
2022-12-21,127,Comal
