date,val,site
12/6/2024,625.89,J 17
12/6/2024,831.47,J 27
12/6/2024,83,San Marcos
12/6/2024,56,Comal
12/5/2024,625.91,J 17
12/5/2024,831.52,J 27
12/5/2024,84,San Marcos
12/5/2024,57,Comal
12/4/2024,625.94,J 17
12/4/2024,831.51,J 27
12/4/2024,84,San Marcos
12/4/2024,58,Comal
12/3/2024,626,J 17
12/3/2024,831.56,J 27
12/3/2024,83,San Marcos
12/3/2024,58,Comal
12/2/2024,627.39,J 17
12/2/2024,831.44,J 27
12/2/2024,83,San Marcos
12/2/2024,60,Comal
12/1/2024,628.11,J 17
12/1/2024,831.45,J 27
12/1/2024,83,San Marcos
12/1/2024,60,Comal
11/30/2024,627.94,J 17
11/30/2024,831.4,J 27
11/30/2024,83,San Marcos
11/30/2024,61,Comal
11/29/2024,627.73,J 17
11/29/2024,831.36,J 27
11/29/2024,82,San Marcos
11/29/2024,61,Comal
11/28/2024,627.16,J 17
11/28/2024,831.26,J 27
11/28/2024,82,San Marcos
11/28/2024,62,Comal
11/27/2024,627.46,J 17
11/27/2024,831.19,J 27
11/27/2024,81,San Marcos
11/27/2024,62,Comal
11/26/2024,627.34,J 17
11/26/2024,831.31,J 27
11/26/2024,81,San Marcos
11/26/2024,62,Comal
11/25/2024,628.31,J 17
11/25/2024,831.48,J 27
11/25/2024,80,San Marcos
11/25/2024,64,Comal
11/24/2024,628.59,J 17
11/24/2024,831.55,J 27
11/24/2024,80,San Marcos
11/24/2024,66,Comal
11/23/2024,628.59,J 17
11/23/2024,831.61,J 27
11/23/2024,80,San Marcos
11/23/2024,68,Comal
11/22/2024,628.2,J 17
11/22/2024,831.65,J 27
11/22/2024,80,San Marcos
11/22/2024,68,Comal
11/21/2024,628.19,J 17
11/21/2024,831.66,J 27
11/21/2024,80,San Marcos
11/21/2024,70,Comal
11/20/2024,628.55,J 17
11/20/2024,831.69,J 27
11/20/2024,80,San Marcos
11/20/2024,70,Comal
11/19/2024,628.92,J 17
11/19/2024,831.73,J 27
11/19/2024,80,San Marcos
11/19/2024,71,Comal
11/18/2024,629.18,J 17
11/18/2024,831.73,J 27
11/18/2024,80,San Marcos
11/18/2024,72,Comal
11/17/2024,629.2,J 17
11/17/2024,831.73,J 27
11/17/2024,81,San Marcos
11/17/2024,72,Comal
11/16/2024,628.87,J 17
11/16/2024,831.72,J 27
11/16/2024,81,San Marcos
11/16/2024,73,Comal
11/15/2024,628.48,J 17
11/15/2024,831.71,J 27
11/15/2024,81,San Marcos
11/15/2024,72,Comal
11/14/2024,628.74,J 17
11/14/2024,831.75,J 27
11/14/2024,81,San Marcos
11/14/2024,72,Comal
11/13/2024,629.08,J 17
11/13/2024,831.8,J 27
11/13/2024,81,San Marcos
11/13/2024,72,Comal
11/12/2024,629.25,J 17
11/12/2024,831.83,J 27
11/12/2024,80,San Marcos
11/12/2024,73,Comal
11/11/2024,629.76,J 17
11/11/2024,831.86,J 27
11/11/2024,81,San Marcos
11/11/2024,73,Comal
11/10/2024,630.21,J 17
11/10/2024,831.91,J 27
11/10/2024,81,San Marcos
11/10/2024,74,Comal
11/9/2024,629.88,J 17
11/9/2024,831.84,J 27
11/9/2024,82,San Marcos
11/9/2024,75,Comal
11/8/2024,629.72,J 17
11/8/2024,831.79,J 27
11/8/2024,82,San Marcos
11/8/2024,73,Comal
11/7/2024,629.54,J 17
11/7/2024,831.76,J 27
11/7/2024,81,San Marcos
11/7/2024,71,Comal
11/6/2024,629.19,J 17
11/6/2024,831.75,J 27
11/6/2024,82,San Marcos
11/6/2024,69,Comal
11/5/2024,628.54,J 17
11/5/2024,831.73,J 27
11/5/2024,84,San Marcos
11/5/2024,67,Comal
11/4/2024,627.24,J 17
11/4/2024,831.72,J 27
11/4/2024,84,San Marcos
11/4/2024,65,Comal
11/3/2024,627.74,J 17
11/3/2024,831.7,J 27
11/3/2024,86,San Marcos
11/3/2024,63,Comal
11/2/2024,627,J 17
11/2/2024,831.63,J 27
11/2/2024,88,San Marcos
11/2/2024,61,Comal
11/1/2024,626.67,J 17
11/1/2024,831.6,J 27
11/1/2024,89,San Marcos
11/1/2024,59,Comal
10/31/2024,626.26,J 17
10/31/2024,831.62,J 27
10/31/2024,91,San Marcos
10/31/2024,58,Comal
10/30/2024,626.56,J 17
10/30/2024,831.61,J 27
10/30/2024,91,San Marcos
10/30/2024,58,Comal
10/29/2024,626.51,J 17
10/29/2024,831.62,J 27
10/29/2024,91,San Marcos
10/29/2024,57,Comal
10/28/2024,626.84,J 17
10/28/2024,831.62,J 27
10/28/2024,92,San Marcos
10/28/2024,57,Comal
10/27/2024,626.95,J 17
10/27/2024,831.64,J 27
10/27/2024,91,San Marcos
10/27/2024,56,Comal
10/26/2024,626.44,J 17
10/26/2024,831.64,J 27
10/26/2024,91,San Marcos
10/26/2024,56,Comal
10/25/2024,626.23,J 17
10/25/2024,831.62,J 27
10/25/2024,91,San Marcos
10/25/2024,55,Comal
10/24/2024,626.19,J 17
10/24/2024,831.62,J 27
10/24/2024,91,San Marcos
10/24/2024,56,Comal
10/23/2024,626.09,J 17
10/23/2024,831.59,J 27
10/23/2024,91,San Marcos
10/23/2024,56,Comal
10/22/2024,625.71,J 17
10/22/2024,831.57,J 27
10/22/2024,90,San Marcos
10/22/2024,55,Comal
10/21/2024,626.34,J 17
10/21/2024,831.59,J 27
10/21/2024,90,San Marcos
10/21/2024,56,Comal
10/20/2024,627.02,J 17
10/20/2024,831.64,J 27
10/20/2024,89,San Marcos
10/20/2024,57,Comal
10/19/2024,626.65,J 17
10/19/2024,831.67,J 27
10/19/2024,89,San Marcos
10/19/2024,58,Comal
10/18/2024,626.03,J 17
10/18/2024,831.66,J 27
10/18/2024,88,San Marcos
10/18/2024,58,Comal
10/17/2024,625.8,J 17
10/17/2024,831.62,J 27
10/17/2024,87,San Marcos
10/17/2024,59,Comal
10/16/2024,626.2,J 17
10/16/2024,831.68,J 27
10/16/2024,87,San Marcos
10/16/2024,61,Comal
10/15/2024,626.82,J 17
10/15/2024,831.69,J 27
10/15/2024,86,San Marcos
10/15/2024,63,Comal
10/14/2024,628.17,J 17
10/14/2024,831.73,J 27
10/14/2024,86,San Marcos
10/14/2024,64,Comal
10/13/2024,628.59,J 17
10/13/2024,831.79,J 27
10/13/2024,86,San Marcos
10/13/2024,66,Comal
10/12/2024,628,J 17
10/12/2024,831.82,J 27
10/12/2024,85,San Marcos
10/12/2024,68,Comal
10/11/2024,627.73,J 17
10/11/2024,831.85,J 27
10/11/2024,84,San Marcos
10/11/2024,70,Comal
10/10/2024,627.59,J 17
10/10/2024,831.89,J 27
10/10/2024,84,San Marcos
10/10/2024,72,Comal
10/9/2024,83,San Marcos
10/9/2024,72,Comal
10/8/2024,628.01,J 17
10/8/2024,831.91,J 27
10/8/2024,82,San Marcos
10/8/2024,74,Comal
10/7/2024,628.76,J 17
10/7/2024,831.89,J 27
10/7/2024,84,San Marcos
10/7/2024,74,Comal
10/6/2024,629.47,J 17
10/6/2024,831.71,J 27
10/6/2024,86,San Marcos
10/6/2024,74,Comal
10/5/2024,628.83,J 17
10/5/2024,831.73,J 27
10/5/2024,86,San Marcos
10/5/2024,72,Comal
10/4/2024,628.47,J 17
10/4/2024,831.78,J 27
10/4/2024,86,San Marcos
10/4/2024,71,Comal
10/3/2024,628.34,J 17
10/3/2024,831.91,J 27
10/3/2024,86,San Marcos
10/3/2024,73,Comal
10/2/2024,628.57,J 17
10/2/2024,831.95,J 27
10/2/2024,86,San Marcos
10/2/2024,75,Comal
10/1/2024,629.04,J 17
10/1/2024,832.01,J 27
10/1/2024,86,San Marcos
10/1/2024,75,Comal
9/30/2024,629.62,J 17
9/30/2024,832.02,J 27
9/30/2024,86,San Marcos
9/30/2024,77,Comal
9/29/2024,630.05,J 17
9/29/2024,832.05,J 27
9/29/2024,86,San Marcos
9/29/2024,80,Comal
9/28/2024,629.5,J 17
9/28/2024,832.07,J 27
